id,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
135397,32.985763,150000000.0,1513528810.0,Jurassic World,124,Action|Adventure|Science Fiction|Thriller,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
76341,28.419936,150000000.0,378436354.0,Mad Max: Fury Road,120,Action|Adventure|Science Fiction|Thriller,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
262500,13.112507,110000000.0,295238201.0,Insurgent,119,Adventure|Science Fiction|Thriller,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628
140607,11.173104,200000000.0,2068178225.0,Star Wars: The Force Awakens,136,Action|Adventure|Science Fiction|Fantasy,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
168259,9.335014,190000000.0,1506249360.0,Furious 7,137,Action|Crime|Thriller,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
281957,9.1107,135000000.0,532950503.0,The Revenant,156,Western|Drama|Adventure|Thriller,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
87101,8.654359,155000000.0,440603537.0,Terminator Genisys,125,Science Fiction|Action|Thriller|Adventure,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
286217,7.6674,108000000.0,595380321.0,The Martian,141,Drama|Adventure|Science Fiction,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152
211672,7.40416499999999,74000000.0,1156730962.0,Minions,91,Family|Animation|Adventure|Comedy,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
150540,6.326804,175000000.0,853708609.0,Inside Out,94,Comedy|Animation|Family,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907
206647,6.200282,245000000.0,880674609.0,Spectre,148,Action|Adventure|Crime,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
76757,6.189369,176000003.0,183987723.0,Jupiter Ascending,124,Science Fiction|Fantasy|Action|Adventure,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
264660,6.118847,15000000.0,36869414.0,Ex Machina,108,Drama|Science Fiction,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677
257344,5.984995,88000000.0,243637091.0,Pixels,105,Action|Comedy|Science Fiction,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748
99861,5.944927,280000000.0,1405035767.0,Avengers: Age of Ultron,141,Action|Adventure|Science Fiction,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
273248,5.8984,44000000.0,155760117.0,The Hateful Eight,167,Crime|Drama|Mystery|Western,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
260346,5.749758,48000000.0,325771424.0,Taken 3,109,Crime|Action|Thriller,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
102899,5.573184,130000000.0,518602163.0,Ant-Man,115,Science Fiction|Action|Adventure,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
150689,5.556818,95000000.0,542351353.0,Cinderella,112,Romance|Fantasy|Family|Drama,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
131634,5.476958,160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,136,War|Adventure|Science Fiction,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
158852,5.462138,190000000.0,209035668.0,Tomorrowland,130,Action|Family|Science Fiction|Adventure|Mystery,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
307081,5.337064,30000000.0,91709827.0,Southpaw,123,Action|Drama,6/15/15,1386,7.3,2015,27599987.8560053,84373003.7158783
254128,4.907832,110000000.0,470490832.0,San Andreas,114,Action|Drama|Thriller,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395
216015,4.71040199999999,40000000.0,569651467.0,Fifty Shades of Grey,125,Drama|Romance,2/11/15,1865,5.3,2015,36799983.8080071,524079119.045187
318846,4.648046,28000000.0,133346506.0,The Big Short,130,Comedy|Drama,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358
177677,4.566713,150000000.0,682330139.0,Mission: Impossible - Rogue Nation,131,Action,7/23/15,2349,7.1,2015,137999939.280026,627743451.672881
214756,4.564549,68000000.0,215863606.0,Ted 2,115,Comedy,6/25/15,1666,6.3,2015,62559972.4736121,198594430.13845
207703,4.503789,81000000.0,403802136.0,Kingsman: The Secret Service,130,Crime|Comedy|Action|Adventure,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
314365,4.062293,20000000.0,88346473.0,Spotlight,128,Drama|Thriller|History,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
294254,3.968891,61000000.0,311256926.0,Maze Runner: The Scorch Trials,132,Action|Science Fiction|Thriller,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251
280996,3.927333,14624286.06433502,29355203.0,Mr. Holmes,103,Mystery|Drama,6/19/15,425,6.4,2015,17549894.037320614,27006774.877019
198184,3.899557,49000000.0,102069268.0,Chappie,120,Crime|Action|Science Fiction,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785
254470,3.877764,29000000.0,287506194.0,Pitch Perfect 2,115,Comedy|Music,5/7/15,1264,6.8,2015,26679988.2608051,264505582.097543
296098,3.64821,40000000.0,162610473.0,Bridge of Spies,141,Thriller|Drama,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309
257445,3.644541,58000000.0,150170815.0,Goosebumps,103,Adventure|Horror|Comedy,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
264644,3.557846,6000000.0,35401758.0,Room,117,Drama|Thriller,10/16/15,1520,8.0,2015,5519997.57120106,32569603.0293746
339527,3.358321,14624286.06433502,22354572.0,Solace,101,Crime|Drama|Mystery,9/3/15,474,6.2,2015,17549894.037320614,20566197.1908732
105864,3.339135,175000000.0,331926147.0,The Good Dinosaur,93,Adventure|Animation|Comedy|Family|Fantasy,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
241554,3.23737,50000000.0,71561644.0,Run All Night,114,Action|Crime|Drama|Mystery|Thriller,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
167073,3.227329,11000000.0,62076141.0,Brooklyn,111,Drama|Romance,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891
277216,3.202719,28000000.0,201634991.0,Straight Outta Compton,147,Drama|Music,8/13/15,918,7.7,2015,25759988.6656049,185504110.098191
274854,3.080505,90000000.0,140396650.0,The Last Witch Hunter,106,Fantasy|Action|Adventure,10/21/15,879,5.6,2015,82799963.568016,129164861.167461
321697,3.079522,30000000.0,34441873.0,Steve Jobs,122,History|Drama,10/9/15,1035,6.9,2015,27599987.8560053,31686509.2179359
203801,3.053421,75000000.0,108145109.0,The Man from U.N.C.L.E.,116,Comedy|Action|Adventure,8/13/15,1548,7.0,2015,68999969.6400133,99493456.5028791
293863,3.025852,25000000.0,42629776.0,The Age of Adaline,112,Fantasy|Drama|Romance,4/16/15,1221,7.3,2015,22999989.8800044,39219376.6634742
325348,3.023253,10000000.0,14333790.0,Hardcore Henry,97,Action|Adventure|Science Fiction,9/12/15,396,5.9,2015,9199995.95200178,13187080.9976843
228161,2.976436,135000000.0,368871007.0,Home,94,Fantasy|Comedy|Animation|Science Fiction|Family,3/18/15,1060,6.9,2015,124199945.352024,339361177.121082
286565,2.968254,12000000.0,85512300.0,Paper Towns,109,Drama|Mystery|Romance,7/9/15,1252,6.2,2015,11039995.1424021,78671281.3846362
265208,2.93234,30000000.0,39826896.07685228,Wild Card,92,Thriller|Crime|Drama,1/14/15,481,5.3,2015,27599987.8560053,51369001.75884257
254320,2.885126,4000000.0,9064511.0,The Lobster,118,Thriller|Comedy|Drama|Romance|Science Fiction,10/8/15,638,6.6,2015,3679998.38080071,8339346.45068756
258480,2.883233,11800000.0,40272135.0,Carol,118,Romance|Drama,11/20/15,562,7.1,2015,10855995.2233621,37050347.8978469
257211,2.814802,35000000.0,194564672.0,The Intern,121,Comedy,9/24/15,1255,7.1,2015,32199985.8320062,178999419.480255
253412,2.798017,55000000.0,203427584.0,Everest,121,Adventure|Drama,9/10/15,1172,6.7,2015,50599977.7360098,187153294.93255
274479,2.793297,60000000.0,101134059.0,Joy,124,Comedy|Drama,12/24/15,1001,6.4,2015,55199975.7120106,93043293.3409509
257088,2.614499,105000000.0,133718711.0,Point Break,114,Action|Crime|Thriller,12/3/15,505,5.5,2015,96599957.4960187,123021159.990689
295964,2.584264,20000000.0,36606743.0,Burnt,100,Drama,10/2/15,631,6.3,2015,18399991.9040035,33678188.7415969
238615,2.578919,26000000.0,30523226.0,Self/less,116,Science Fiction|Mystery|Thriller,7/10/15,719,6.2,2015,23919989.4752046,28081355.5642035
210860,2.575711,60000000.0,30418560.0,Mortdecai,106,Comedy|Adventure,1/21/15,696,5.3,2015,55199975.7120106,27985062.8865723
306819,2.557859,15000000.0,64191523.0,The Danish Girl,120,Drama,11/27/15,867,7.3,2015,13799993.9280026,59056175.1752829
201088,2.550747,70000000.0,17752940.0,Blackhat,133,Mystery|Crime|Action|Thriller|Drama,1/13/15,584,5.0,2015,64399971.6640124,16332697.613613
273481,2.487849,30000000.0,84025816.0,Sicario,121,Action|Crime|Drama|Mystery|Thriller,9/17/15,1479,7.1,2015,27599987.8560053,77303716.7063646
166424,2.487042,120000001.0,167977596.0,Fantastic Four,100,Action|Adventure|Science Fiction,8/5/15,1565,4.4,2015,110399952.34402,154539320.322699
310131,2.46449,3500000.0,40423945.0,The Witch,92,Mystery|Horror,3/24/15,700,5.8,2015,3219998.58320062,37190013.0363942
238713,2.404473,65000000.0,235666219.0,Spy,120,Action|Comedy|Crime,5/6/15,1840,6.9,2015,59799973.6880115,216812826.082356
256591,2.395366,50100000.0,153962963.0,Focus,105,Romance|Comedy|Crime|Drama,2/25/15,1831,6.7,2015,46091979.7195289,141645863.63582
249070,2.354654,35000000.0,82347656.0,Hitman: Agent 47,96,Action|Crime|Thriller,8/20/15,820,5.5,2015,32199985.8320062,75759810.1856835
205775,2.345821,100000000.0,93820758.0,In the Heart of the Sea,122,Thriller|Drama|Adventure|Action|History,11/20/15,805,6.4,2015,91999959.5200178,86315059.3813738
